priority,region,source,matched_mng_no,matched_manager,matched_purpose,matched_address,matched_camera_count,local_count,min_distance_m,max_score,min_score,recommendation,local_ids,local_names,local_addresses
P1,인천,Incheon-Local,202535300000800319,인천광역시 남동구청,생활방범,인천광역시 남동구 인주대로748번길 20,1,3,14,194,194,문서 대조 후 우선 승격 검토,IC-CR-070 | IC-CR-071 | IC-CR-072,남동구 만수동 방범 CCTV-1 | 남동구 만수동 방범 CCTV-2 | 남동구 만수동 방범 CCTV-3,인천 남동구 만수동 만수로 55
P1,인천,Incheon-Local,202535500000800431,인천광역시 계양구청,생활방범,인천광역시 계양구 계산새로 88,1,3,25,194,194,문서 대조 후 우선 승격 검토,IC-CR-094 | IC-CR-095 | IC-CR-096,계양구 귤현동 방범 CCTV-1 | 계양구 귤현동 방범 CCTV-2 | 계양구 귤현동 방범 CCTV-3,인천 계양구 귤현동 계양대로 21
P1,인천,Incheon-Local,202435400000801742,인천광역시 부평구청,생활방범,인천광역시 부평구 부평문화로53번길 49,1,3,34,194,194,문서 대조 후 우선 승격 검토,IC-CR-013 | IC-CR-014 | IC-CR-015,부평구 부평동 방범 CCTV-1 | 부평구 부평동 방범 CCTV-2 | 부평구 부평동 방범 CCTV-3,인천 부평구 부평대로 168
P1,인천,Incheon-Local,202435400000802017,인천광역시 부평구청,생활방범,인천광역시 부평구 부흥로 245,2,3,54,194,194,문서 대조 후 우선 승격 검토,IC-CR-016 | IC-CR-017 | IC-CR-018,부평구 십정동 방범 CCTV-1 | 부평구 십정동 방범 CCTV-2 | 부평구 십정동 방범 CCTV-3,인천 부평구 십정동 십정로 33
P1,인천,Incheon-Local,202435400000802530,인천광역시 부평구청,생활방범,인천광역시 부평구 대정로82번길 11,2,3,73,194,194,문서 대조 후 우선 승격 검토,IC-CR-022 | IC-CR-023 | IC-CR-024,부평구 부평4동 방범 CCTV-1 | 부평구 부평4동 방범 CCTV-2 | 부평구 부평4동 방범 CCTV-3,인천 부평구 부평4동 경인로 22
P1,인천,Incheon-Local,202534900000800306,인천광역시 중구청,생활방범,인천광역시 중구 제물량로 271,3,3,81,191,191,문서 대조 후 우선 승격 검토,IC-CR-118 | IC-CR-119 | IC-CR-120,중구 신흥동 방범 CCTV-1 | 중구 신흥동 방범 CCTV-2 | 중구 신흥동 방범 CCTV-3,인천 중구 신흥동 신흥로 30
P1,김포,Gimpo-Local,202540900000802728,도시안전정보센터,생활방범,경기도 김포시 걸포동 4-170(걸포동 마을회관 인근),4,2,94,191,191,문서 대조 후 우선 승격 검토,KP-CR-045 | KP-CR-046,걸포동 방범 CCTV-1 | 걸포동 방범 CCTV-2,경기 김포시 걸포동 걸포로 30
P1,김포,Gimpo-Local,202540900000803435,도시안전정보센터,생활방범,경기도 김포시 고촌읍 신곡리 1260(힐스테이트2단지 공원),5,2,115,191,191,문서 대조 후 우선 승격 검토,KP-CR-013 | KP-CR-014,고촌읍 방범 CCTV-1 | 고촌읍 방범 CCTV-2,경기 김포시 고촌읍 신곡수변로
P1,인천,Incheon-Local,202535500000800498,인천광역시 계양구청,생활방범,인천광역시 계양구 경명대로 1142번길 7,3,3,143,191,191,문서 대조 후 우선 승격 검토,IC-CR-085 | IC-CR-086 | IC-CR-087,계양구 계산동 방범 CCTV-1 | 계양구 계산동 방범 CCTV-2 | 계양구 계산동 방범 CCTV-3,인천 계양구 계산동 계양대로 120
P1,김포,Gimpo-Local,202540900000803250,도시안전정보센터,생활방범,경기도 김포시 사우동 1223 (김포여중 뒷길),4,2,145,191,191,문서 대조 후 우선 승격 검토,KP-CR-003 | KP-CR-004,사우동 방범 CCTV-1 | 사우동 방범 CCTV-2,경기 김포시 사우로 45
P2,김포,Gimpo-Local,202540900000802865,도시안전정보센터,생활방범,경기도 김포시 고촌읍 풍곡리 228-1 (새한솔어린이집),4,2,158,171,171,지도/거리/기관명 교차확인 후 승격 검토,KP-CR-011 | KP-CR-012,고촌읍 방범 CCTV-1 | 고촌읍 방범 CCTV-2,경기 김포시 고촌읍 아라육로
P2,김포,Gimpo-Local,202540900000803274,도시안전정보센터,생활방범,"경기도 김포시 북변동 814(풍년마을,김포고)",3,2,185,171,171,지도/거리/기관명 교차확인 후 승격 검토,KP-CR-047 | KP-CR-048,북변동 방범 CCTV-1 | 북변동 방범 CCTV-2,경기 김포시 북변동 북변로 45
P2,인천,Incheon-Local,202535500000800239,인천광역시 계양구청,생활방범,인천광역시 계양구 작전동 봉오대로 657,3,3,205,171,171,지도/거리/기관명 교차확인 후 승격 검토,IC-CR-091 | IC-CR-092 | IC-CR-093,계양구 효성동 방범 CCTV-1 | 계양구 효성동 방범 CCTV-2 | 계양구 효성동 방범 CCTV-3,인천 계양구 효성동 효성로 80
P2,인천,Incheon-Local,202535300000801110,인천광역시 남동구청,생활방범,인천광역시 남동구 예술로268번길 40,3,3,223,171,171,지도/거리/기관명 교차확인 후 승격 검토,IC-CR-064 | IC-CR-065 | IC-CR-066,남동구 구월동 방범 CCTV-1 | 남동구 구월동 방범 CCTV-2 | 남동구 구월동 방범 CCTV-3,인천 남동구 구월동 예술로 200
